loan_id,customer_id,account_id,loan_product,principal_amount,interest_rate_annual_pct,tenure_months,issue_date,due_date,loan_status
LOAN000054,CUST000063,ACC000063,micro_loan,951408,14,17,2025-06-04,2026-10-27,active
LOAN000055,CUST000068,ACC000068,micro_loan,284138,21,7,2026-03-24,2026-10-20,active
LOAN000056,CUST000069,ACC000069,micro_loan,1210159,20,16,2025-03-07,2026-06-30,active
LOAN000057,CUST000070,ACC000070,micro_loan,1656503,22,13,2023-11-13,2024-12-07,active
LOAN000058,CUST000071,ACC000071,consumer,1227207,16,5,2026-03-11,2026-08-08,active
LOAN000059,CUST000072,ACC000072,micro_loan,986966,19,8,2023-11-20,2024-07-17,active
LOAN000060,CUST000073,ACC000073,micro_loan,1337550,22,6,2024-01-25,2024-07-23,active
LOAN000061,CUST000074,ACC000074,consumer,1844926,25,12,2024-05-06,2025-05-01,active
LOAN000062,CUST000075,ACC000075,consumer,722545,16,15,2023-08-06,2024-10-29,active
LOAN000063,CUST000076,ACC000076,micro_loan,1922580,21,16,2023-06-06,2024-09-28,active
LOAN000064,CUST000077,ACC000077,consumer,1227889,19,13,2023-09-29,2024-10-23,active
LOAN000065,CUST000079,ACC000079,consumer,1653652,24,17,2023-12-30,2025-05-23,active
LOAN000066,CUST000081,ACC000081,salary_advance,1974669,16,5,2024-01-26,2024-06-24,active
LOAN000067,CUST000082,ACC000082,salary_advance,1573625,19,18,2024-03-19,2025-09-10,active
LOAN000068,CUST000083,ACC000083,micro_loan,1477238,20,11,2024-12-09,2025-11-04,active
LOAN000069,CUST000084,ACC000084,consumer,1149610,17,8,2023-09-20,2024-05-17,active
LOAN000070,CUST000085,ACC000085,consumer,656054,16,6,2025-07-01,2025-12-28,active
LOAN000071,CUST000087,ACC000087,salary_advance,860102,22,7,2026-02-08,2026-09-06,active
LOAN000072,CUST000088,ACC000088,consumer,1888339,13,14,2023-04-02,2024-05-26,active
LOAN000073,CUST000089,ACC000089,salary_advance,749179,23,9,2024-09-15,2025-06-12,active
LOAN000074,CUST000090,ACC000090,salary_advance,1686661,22,4,2025-12-06,2026-04-05,active
LOAN000075,CUST000091,ACC000091,salary_advance,358805,22,8,2023-01-16,2023-09-13,active
LOAN000076,CUST000092,ACC000092,consumer,2500000,25,12,2024-02-03,2025-01-28,active
LOAN000077,CUST000093,ACC000093,micro_loan,835540,25,13,2023-12-03,2024-12-27,active
LOAN000078,CUST000094,ACC000094,micro_loan,600992,15,3,2025-08-29,2025-11-27,active
LOAN000079,CUST000097,ACC000097,consumer,1651822,20,5,2024-10-09,2025-03-08,active
LOAN000080,CUST000099,ACC000099,micro_loan,2500000,25,17,2023-08-07,2024-12-29,active
LOAN000081,CUST000100,ACC000100,salary_advance,1064357,23,17,2026-01-06,2027-05-31,active
LOAN000082,CUST000101,ACC000101,micro_loan,1632243,21,3,2025-12-23,2026-03-23,active
LOAN000083,CUST000103,ACC000103,salary_advance,1515580,13,7,2025-01-21,2025-08-19,active
LOAN000084,CUST000104,ACC000104,consumer,2089537,15,12,2024-12-02,2025-11-27,active
LOAN000085,CUST000105,ACC000105,consumer,488149,12,11,2023-05-05,2024-03-30,active
LOAN000086,CUST000107,ACC000107,consumer,266186,23,10,2023-09-01,2024-06-27,active
LOAN000087,CUST000108,ACC000108,consumer,513372,18,15,2023-12-21,2025-03-15,active
LOAN000088,CUST000109,ACC000109,consumer,2198229,13,8,2024-12-10,2025-08-07,active
LOAN000089,CUST000110,ACC000110,micro_loan,541204,24,3,2024-07-25,2024-10-23,active
LOAN000090,CUST000111,ACC000111,consumer,1612801,15,12,2025-12-01,2026-11-26,active
LOAN000091,CUST000112,ACC000112,consumer,1049250,15,12,2023-06-27,2024-06-21,active
LOAN000092,CUST000114,ACC000114,consumer,2182821,14,13,2023-07-07,2024-07-31,active
LOAN000093,CUST000116,ACC000116,salary_advance,754487,24,18,2023-10-08,2025-03-31,active
LOAN000094,CUST000117,ACC000117,micro_loan,1204345,20,10,2023-03-23,2024-01-17,active
LOAN000095,CUST000120,ACC000120,micro_loan,1209491,16,17,2025-04-03,2026-08-26,active
LOAN000096,CUST000121,ACC000121,salary_advance,381266,22,5,2025-08-23,2026-01-20,active
LOAN000097,CUST000122,ACC000122,consumer,1709595,19,5,2024-04-11,2024-09-08,active
LOAN000098,CUST000123,ACC000123,salary_advance,1504332,20,17,2026-01-07,2027-06-01,active
LOAN000099,CUST000124,ACC000124,micro_loan,1387123,17,12,2024-11-27,2025-11-22,active
LOAN000100,CUST000125,ACC000125,salary_advance,646804,17,13,2023-01-05,2024-01-30,active
LOAN000101,CUST000126,ACC000126,consumer,2002404,21,18,2023-07-30,2025-01-20,active
LOAN000102,CUST000127,ACC000127,salary_advance,1568321,13,16,2023-11-14,2025-03-08,active
LOAN000103,CUST000128,ACC000128,micro_loan,2269621,23,18,2025-01-10,2026-07-04,active
LOAN000104,CUST000129,ACC000129,micro_loan,2500000,15,15,2024-07-16,2025-10-09,active
LOAN000105,CUST000130,ACC000130,salary_advance,1990369,18,13,2025-10-23,2026-11-17,active
LOAN000106,CUST000131,ACC000131,salary_advance,1372719,21,4,2025-04-24,2025-08-22,active
LOAN000107,CUST000132,ACC000132,micro_loan,1253034,13,6,2022-12-23,2023-06-21,active
LOAN000108,CUST000133,ACC000133,consumer,1251311,17,3,2025-06-18,2025-09-16,active
LOAN000109,CUST000134,ACC000134,consumer,850344,25,14,2024-01-21,2025-03-16,active
LOAN000110,CUST000135,ACC000135,consumer,2440975,14,8,2023-08-20,2024-04-16,active
LOAN000111,CUST000136,ACC000136,micro_loan,1796226,16,10,2025-07-21,2026-05-17,active
LOAN000112,CUST000137,ACC000137,consumer,1096981,19,14,2024-07-16,2025-09-09,active
LOAN000113,CUST000138,ACC000138,micro_loan,361577,23,13,2024-12-16,2026-01-10,active
LOAN000114,CUST000139,ACC000139,micro_loan,1517838,19,8,2025-09-02,2026-04-30,active
LOAN000115,CUST000140,ACC000140,salary_advance,1116805,16,3,2024-09-01,2024-11-30,active
LOAN000116,CUST000141,ACC000141,salary_advance,1395193,22,7,2026-01-16,2026-08-14,active
LOAN000117,CUST000143,ACC000143,micro_loan,442434,16,5,2024-08-19,2025-01-16,active
LOAN000118,CUST000144,ACC000144,micro_loan,798180,18,3,2024-01-31,2024-04-30,active
LOAN000119,CUST000145,ACC000145,consumer,479655,21,10,2025-02-16,2025-12-13,active
LOAN000120,CUST000146,ACC000146,micro_loan,489572,14,15,2024-12-01,2026-02-24,active
LOAN000121,CUST000147,ACC000147,consumer,540842,24,12,2023-04-18,2024-04-12,active
LOAN000122,CUST000148,ACC000148,salary_advance,660222,14,15,2025-08-22,2026-11-15,active
LOAN000123,CUST000149,ACC000149,consumer,1399906,23,3,2023-10-20,2024-01-18,active
LOAN000124,CUST000150,ACC000150,salary_advance,2394955,17,7,2024-01-11,2024-08-08,active
LOAN000125,CUST000152,ACC000152,consumer,1302089,18,9,2024-01-15,2024-10-11,active
LOAN000126,CUST000154,ACC000154,salary_advance,2131889,24,16,2025-10-16,2027-02-08,active
LOAN000127,CUST000155,ACC000155,salary_advance,2103460,19,10,2024-04-24,2025-02-18,active
LOAN000128,CUST000156,ACC000156,consumer,1231049,20,10,2024-08-12,2025-06-08,active
LOAN000129,CUST000157,ACC000157,salary_advance,587664,18,7,2025-03-07,2025-10-03,active
LOAN000130,CUST000158,ACC000158,consumer,1759521,25,8,2024-09-03,2025-05-01,active
LOAN000131,CUST000159,ACC000159,micro_loan,875449,18,12,2025-07-18,2026-07-13,active
LOAN000132,CUST000160,ACC000160,micro_loan,307334,25,6,2026-02-09,2026-08-08,active
LOAN000133,CUST000161,ACC000161,micro_loan,548617,17,6,2025-09-21,2026-03-20,active
LOAN000134,CUST000162,ACC000162,salary_advance,1758381,24,18,2024-09-17,2026-03-11,active
LOAN000135,CUST000163,ACC000163,micro_loan,757601,21,4,2023-09-19,2024-01-17,active
LOAN000136,CUST000164,ACC000164,salary_advance,841019,16,17,2024-08-06,2025-12-29,active
LOAN000137,CUST000165,ACC000165,micro_loan,1242270,16,7,2024-06-28,2025-01-24,active
LOAN000138,CUST000166,ACC000166,salary_advance,1051195,16,5,2024-09-30,2025-02-27,active
LOAN000139,CUST000167,ACC000167,micro_loan,1107357,18,9,2026-01-20,2026-10-17,active
LOAN000140,CUST000168,ACC000168,consumer,1963729,24,8,2025-08-05,2026-04-02,active
LOAN000141,CUST000169,ACC000169,consumer,2500000,14,13,2025-10-27,2026-11-21,active
LOAN000142,CUST000170,ACC000170,micro_loan,2270147,12,11,2024-03-30,2025-02-23,active
LOAN000143,CUST000171,ACC000171,micro_loan,2411923,15,18,2023-03-12,2024-09-02,active
LOAN000144,CUST000172,ACC000172,micro_loan,2500000,14,16,2025-05-05,2026-08-28,active
LOAN000145,CUST000175,ACC000175,micro_loan,1209373,14,15,2025-07-08,2026-10-01,active
LOAN000146,CUST000176,ACC000176,salary_advance,1784013,18,9,2025-06-22,2026-03-19,active
LOAN000147,CUST000177,ACC000177,micro_loan,2500000,16,18,2023-07-18,2025-01-08,active
LOAN000148,CUST000178,ACC000178,micro_loan,1388922,13,16,2024-08-29,2025-12-22,active
LOAN000149,CUST000179,ACC000179,salary_advance,2334723,14,10,2024-07-20,2025-05-16,active
LOAN000150,CUST000181,ACC000181,consumer,1321135,23,9,2023-07-30,2024-04-25,active
LOAN000151,CUST000183,ACC000183,micro_loan,2500000,15,3,2025-04-28,2025-07-27,active
LOAN000152,CUST000185,ACC000185,salary_advance,1709925,15,4,2023-02-13,2023-06-13,active
LOAN000153,CUST000186,ACC000186,salary_advance,2104983,19,16,2025-04-20,2026-08-13,active
LOAN000154,CUST000187,ACC000187,consumer,2022001,14,11,2023-05-02,2024-03-27,active
LOAN000155,CUST000188,ACC000188,micro_loan,1612067,25,17,2023-02-13,2024-07-07,active
LOAN000156,CUST000189,ACC000189,consumer,2500000,13,10,2026-01-20,2026-11-16,active
LOAN000157,CUST000190,ACC000190,consumer,2360817,20,9,2025-06-18,2026-03-15,active
LOAN000158,CUST000191,ACC000191,micro_loan,1003513,14,4,2022-12-24,2023-04-23,active
LOAN000159,CUST000192,ACC000192,salary_advance,1187518,14,5,2024-08-29,2025-01-26,active
LOAN000160,CUST000193,ACC000193,salary_advance,690684,21,14,2024-11-30,2026-01-24,active
LOAN000161,CUST000194,ACC000194,consumer,2500000,24,8,2025-10-29,2026-06-26,active
LOAN000162,CUST000195,ACC000195,salary_advance,512411,21,10,2023-04-20,2024-02-14,active
LOAN000163,CUST000196,ACC000196,consumer,1140519,25,9,2026-01-21,2026-10-18,active
LOAN000164,CUST000198,ACC000198,micro_loan,2320330,14,11,2025-10-01,2026-08-27,active
LOAN000165,CUST000199,ACC000199,consumer,1071929,15,6,2025-11-10,2026-05-09,active
LOAN000166,CUST000200,ACC000200,consumer,2500000,25,9,2023-04-08,2024-01-03,active
LOAN000167,CUST000201,ACC000201,consumer,2500000,12,16,2023-04-13,2024-08-05,active
LOAN000168,CUST000202,ACC000202,salary_advance,615897,13,3,2024-10-24,2025-01-22,active
LOAN000169,CUST000203,ACC000203,salary_advance,2500000,17,8,2025-11-10,2026-07-08,active
LOAN000170,CUST000204,ACC000204,consumer,2044195,22,6,2024-10-03,2025-04-01,active
LOAN000171,CUST000205,ACC000205,salary_advance,2032843,16,6,2024-12-19,2025-06-17,active
LOAN000172,CUST000208,ACC000208,micro_loan,887747,17,3,2025-08-04,2025-11-02,active
LOAN000173,CUST000209,ACC000209,micro_loan,2500000,13,5,2024-08-31,2025-01-28,active
LOAN000174,CUST000210,ACC000210,salary_advance,1228920,19,10,2023-04-12,2024-02-06,active
LOAN000175,CUST000211,ACC000211,consumer,898640,19,12,2023-02-21,2024-02-16,active
LOAN000176,CUST000212,ACC000212,salary_advance,1855420,16,5,2025-08-28,2026-01-25,active
LOAN000177,CUST000213,ACC000213,consumer,1565450,19,14,2025-01-10,2026-03-06,active
LOAN000178,CUST000214,ACC000214,consumer,986051,24,17,2023-03-25,2024-08-16,active
LOAN000179,CUST000215,ACC000215,micro_loan,2500000,25,8,2023-10-23,2024-06-19,active
LOAN000180,CUST000217,ACC000217,consumer,2500000,20,4,2023-05-25,2023-09-22,active
LOAN000181,CUST000219,ACC000219,consumer,1544642,18,7,2023-10-29,2024-05-26,active
LOAN000182,CUST000220,ACC000220,salary_advance,2310563,12,10,2026-02-27,2026-12-24,active
LOAN000183,CUST000221,ACC000221,salary_advance,2029381,12,15,2024-06-27,2025-09-20,active
LOAN000184,CUST000222,ACC000222,consumer,2500000,16,12,2024-09-05,2025-08-31,active
LOAN000185,CUST000223,ACC000223,salary_advance,2500000,22,4,2023-03-30,2023-07-28,active
LOAN000186,CUST000224,ACC000224,consumer,1867844,13,10,2023-05-04,2024-02-28,active
LOAN000187,CUST000225,ACC000225,salary_advance,2227114,14,16,2023-06-25,2024-10-17,active
LOAN000188,CUST000226,ACC000226,consumer,1206858,17,13,2026-01-07,2027-02-01,active
LOAN000189,CUST000227,ACC000227,salary_advance,2300228,16,17,2023-08-17,2025-01-08,active
LOAN000190,CUST000228,ACC000228,salary_advance,1621472,22,4,2023-12-23,2024-04-21,active
LOAN000191,CUST000229,ACC000229,salary_advance,332889,16,17,2025-11-12,2027-04-06,active
LOAN000192,CUST000230,ACC000230,micro_loan,1239239,25,9,2025-01-10,2025-10-07,active
LOAN000193,CUST000231,ACC000231,salary_advance,901216,25,12,2025-08-26,2026-08-21,active
LOAN000194,CUST000233,ACC000233,micro_loan,647544,24,12,2025-08-27,2026-08-22,active
LOAN000195,CUST000234,ACC000234,consumer,984622,16,8,2025-10-20,2026-06-17,active
LOAN000196,CUST000235,ACC000235,consumer,589123,18,6,2026-03-09,2026-09-05,active
LOAN000197,CUST000236,ACC000236,salary_advance,1667034,16,11,2025-04-15,2026-03-11,active
LOAN000198,CUST000237,ACC000237,consumer,1580819,19,12,2024-02-02,2025-01-27,active
LOAN000199,CUST000238,ACC000238,micro_loan,1091273,22,4,2026-02-22,2026-06-22,active
LOAN000200,CUST000239,ACC000239,micro_loan,1465337,23,10,2025-06-02,2026-03-29,active
LOAN000201,CUST000240,ACC000240,salary_advance,2140892,15,13,2025-01-27,2026-02-21,active
LOAN000202,CUST000241,ACC000241,salary_advance,1949401,14,5,2024-12-18,2025-05-17,active
LOAN000203,CUST000242,ACC000242,micro_loan,2500000,15,10,2024-12-26,2025-10-22,active
LOAN000204,CUST000243,ACC000243,consumer,1469540,23,5,2023-04-12,2023-09-09,active
LOAN000205,CUST000244,ACC000244,salary_advance,1283735,24,16,2025-05-16,2026-09-08,active
LOAN000206,CUST000245,ACC000245,micro_loan,567914,22,8,2024-12-27,2025-08-24,active
LOAN000207,CUST000246,ACC000246,micro_loan,1540640,22,7,2023-09-24,2024-04-21,active
LOAN000208,CUST000247,ACC000247,salary_advance,2500000,16,12,2024-01-04,2024-12-29,active
LOAN000209,CUST000248,ACC000248,consumer,1813748,19,9,2025-12-07,2026-09-03,active
LOAN000210,CUST000249,ACC000249,salary_advance,432785,25,4,2023-11-07,2024-03-06,active
LOAN000211,CUST000250,ACC000250,consumer,1497311,25,15,2023-01-02,2024-03-27,active
LOAN000212,CUST000251,ACC000251,micro_loan,1269445,12,17,2024-04-17,2025-09-09,active
LOAN000213,CUST000252,ACC000252,salary_advance,2500000,17,9,2023-02-01,2023-10-29,active
LOAN000214,CUST000253,ACC000253,salary_advance,2298271,23,18,2024-12-19,2026-06-12,active
LOAN000215,CUST000256,ACC000256,consumer,1234229,22,4,2024-01-13,2024-05-12,active
LOAN000216,CUST000258,ACC000258,consumer,1604202,21,11,2025-01-29,2025-12-25,active
LOAN000217,CUST000260,ACC000260,micro_loan,2195704,18,4,2025-02-20,2025-06-20,active
LOAN000218,CUST000261,ACC000261,salary_advance,919747,12,13,2024-12-07,2026-01-01,active
LOAN000219,CUST000263,ACC000263,micro_loan,2500000,19,15,2025-02-18,2026-05-14,active
LOAN000220,CUST000264,ACC000264,consumer,1674277,12,10,2025-07-14,2026-05-10,active
LOAN000221,CUST000265,ACC000265,micro_loan,863917,14,3,2025-07-04,2025-10-02,active
LOAN000222,CUST000266,ACC000266,consumer,2500000,14,7,2025-07-02,2026-01-28,active
LOAN000223,CUST000268,ACC000268,consumer,2191327,17,8,2025-06-05,2026-01-31,active
LOAN000224,CUST000270,ACC000270,micro_loan,2331086,20,10,2025-01-27,2025-11-23,active
LOAN000225,CUST000271,ACC000271,salary_advance,683303,18,16,2024-05-17,2025-09-09,active
LOAN000226,CUST000272,ACC000272,consumer,634561,15,3,2025-02-21,2025-05-22,active
LOAN000227,CUST000273,ACC000273,micro_loan,2304042,12,10,2023-03-16,2024-01-10,active
LOAN000228,CUST000274,ACC000274,salary_advance,2050905,25,11,2024-03-04,2025-01-28,active
LOAN000229,CUST000275,ACC000275,consumer,2500000,24,3,2023-08-08,2023-11-06,active
LOAN000230,CUST000276,ACC000276,micro_loan,2500000,19,14,2022-12-21,2024-02-14,active
LOAN000231,CUST000277,ACC000277,micro_loan,1052361,18,12,2024-09-28,2025-09-23,active
LOAN000232,CUST000278,ACC000278,salary_advance,397114,23,15,2025-08-09,2026-11-02,active
LOAN000233,CUST000279,ACC000279,micro_loan,1688851,15,12,2025-10-12,2026-10-07,active
LOAN000234,CUST000280,ACC000280,consumer,2500000,13,11,2023-07-18,2024-06-12,active
LOAN000235,CUST000282,ACC000282,micro_loan,2500000,14,10,2024-11-06,2025-09-02,active
LOAN000236,CUST000283,ACC000283,salary_advance,1143503,20,10,2024-09-26,2025-07-23,active
LOAN000237,CUST000284,ACC000284,salary_advance,732429,24,15,2023-09-06,2024-11-29,active
LOAN000238,CUST000285,ACC000285,salary_advance,1572158,21,3,2023-06-18,2023-09-16,active
LOAN000239,CUST000286,ACC000286,salary_advance,1413413,20,13,2024-04-04,2025-04-29,active
LOAN000240,CUST000287,ACC000287,salary_advance,2500000,14,4,2023-01-10,2023-05-10,active
LOAN000241,CUST000288,ACC000288,consumer,1785480,24,3,2023-01-16,2023-04-16,active
LOAN000242,CUST000289,ACC000289,salary_advance,2500000,25,13,2025-11-07,2026-12-02,active
LOAN000243,CUST000290,ACC000290,salary_advance,2500000,16,12,2024-01-08,2025-01-02,active
LOAN000244,CUST000291,ACC000291,salary_advance,472250,12,6,2023-11-07,2024-05-05,active
LOAN000245,CUST000293,ACC000293,salary_advance,1312898,22,5,2024-08-25,2025-01-22,active
LOAN000246,CUST000294,ACC000294,consumer,1043513,17,17,2025-05-17,2026-10-09,active
LOAN000247,CUST000295,ACC000295,micro_loan,2500000,19,15,2025-03-14,2026-06-07,active
LOAN000248,CUST000296,ACC000296,micro_loan,1516908,17,9,2024-11-16,2025-08-13,active
LOAN000249,CUST000297,ACC000297,salary_advance,1503844,16,15,2024-05-27,2025-08-20,active
LOAN000250,CUST000298,ACC000298,micro_loan,2500000,25,7,2025-04-27,2025-11-23,active
LOAN000251,CUST000299,ACC000299,salary_advance,1148816,13,8,2025-10-27,2026-06-24,active
LOAN000252,CUST000300,ACC000300,consumer,2500000,20,4,2023-11-03,2024-03-02,active
LOAN000253,CUST000301,ACC000301,consumer,2148198,16,4,2024-12-06,2025-04-05,active
LOAN000254,CUST000302,ACC000302,salary_advance,468138,14,16,2025-06-04,2026-09-27,active
LOAN000255,CUST000303,ACC000303,micro_loan,1291978,17,15,2025-03-10,2026-06-03,active
LOAN000256,CUST000304,ACC000304,consumer,2500000,13,9,2025-02-26,2025-11-23,active
LOAN000257,CUST000305,ACC000305,micro_loan,1341132,12,12,2025-08-06,2026-08-01,active
LOAN000258,CUST000307,ACC000307,consumer,2500000,16,7,2025-10-28,2026-05-26,active
LOAN000259,CUST000308,ACC000308,salary_advance,639072,22,7,2024-12-06,2025-07-04,active
LOAN000260,CUST000309,ACC000309,micro_loan,2464805,21,17,2024-05-02,2025-09-24,active
LOAN000261,CUST000310,ACC000310,consumer,890937,14,4,2024-05-05,2024-09-02,active
LOAN000262,CUST000314,ACC000314,consumer,595727,12,10,2023-03-19,2024-01-13,active
LOAN000263,CUST000315,ACC000315,micro_loan,1993920,17,18,2024-07-23,2026-01-14,active
LOAN000264,CUST000316,ACC000316,consumer,1924674,19,6,2025-01-09,2025-07-08,active
LOAN000265,CUST000317,ACC000317,salary_advance,1451629,22,5,2026-01-11,2026-06-10,active
LOAN000266,CUST000318,ACC000318,micro_loan,885194,24,14,2023-04-07,2024-05-31,active
LOAN000267,CUST000319,ACC000319,micro_loan,1117523,18,7,2025-10-30,2026-05-28,active
LOAN000268,CUST000320,ACC000320,micro_loan,1558810,14,5,2025-01-26,2025-06-25,active
LOAN000269,CUST000322,ACC000322,micro_loan,1134907,19,9,2023-09-08,2024-06-04,active
LOAN000270,CUST000323,ACC000323,micro_loan,681851,25,15,2024-07-12,2025-10-05,active
LOAN000271,CUST000325,ACC000325,salary_advance,1775349,24,10,2024-09-22,2025-07-19,active
LOAN000272,CUST000326,ACC000326,salary_advance,1055993,17,4,2026-02-07,2026-06-07,active
LOAN000273,CUST000328,ACC000328,salary_advance,1714929,21,18,2025-01-18,2026-07-12,active
LOAN000274,CUST000329,ACC000329,salary_advance,2500000,15,6,2024-10-18,2025-04-16,active
LOAN000275,CUST000330,ACC000330,micro_loan,2403357,21,14,2024-10-01,2025-11-25,active
LOAN000276,CUST000331,ACC000331,micro_loan,731985,12,15,2025-09-05,2026-11-29,active
LOAN000277,CUST000332,ACC000332,salary_advance,737652,17,14,2023-07-21,2024-09-13,active
LOAN000278,CUST000333,ACC000333,micro_loan,2500000,24,16,2025-08-28,2026-12-21,active
LOAN000279,CUST000334,ACC000334,micro_loan,2500000,23,16,2024-12-19,2026-04-13,active
LOAN000280,CUST000335,ACC000335,salary_advance,2079868,25,3,2023-03-17,2023-06-15,active
LOAN000281,CUST000336,ACC000336,consumer,2422299,20,8,2023-12-31,2024-08-27,active
LOAN000282,CUST000338,ACC000338,salary_advance,527466,18,10,2024-04-27,2025-02-21,active
LOAN000283,CUST000340,ACC000340,micro_loan,1386948,15,13,2025-02-07,2026-03-04,active
LOAN000284,CUST000341,ACC000341,micro_loan,1801640,15,5,2024-09-08,2025-02-05,active
LOAN000285,CUST000342,ACC000342,consumer,1222566,16,5,2024-11-04,2025-04-03,active
LOAN000286,CUST000344,ACC000344,consumer,1920381,13,9,2023-10-15,2024-07-11,active
LOAN000287,CUST000345,ACC000345,consumer,1710132,24,8,2023-08-18,2024-04-14,active
LOAN000288,CUST000347,ACC000347,micro_loan,336048,23,6,2024-02-01,2024-07-30,active
LOAN000289,CUST000348,ACC000348,consumer,996775,23,6,2023-05-13,2023-11-09,active
