account_id,customer_id,account_type,currency,opened_at,status,current_balance,available_balance
ACC000103,CUST000103,savings,UGX,2025-01-21,open,892954,765464
ACC000104,CUST000104,merchant,UGX,2024-12-02,open,587391,394471
ACC000105,CUST000105,wallet,UGX,2023-05-05,frozen,1350244,1315474
ACC000106,CUST000106,merchant,UGX,2025-05-10,open,2017198,2017198
ACC000107,CUST000107,savings,UGX,2023-09-01,frozen,1438174,1414994
ACC000108,CUST000108,merchant,UGX,2023-12-21,frozen,2302940,2264760
ACC000109,CUST000109,checking,UGX,2024-12-10,open,851845,658925
ACC000110,CUST000110,savings,UGX,2024-07-25,open,1250273,1215503
ACC000111,CUST000111,merchant,UGX,2025-12-01,open,710852,560182
ACC000112,CUST000112,wallet,UGX,2023-06-27,open,2303250,2226890
ACC000113,CUST000113,savings,UGX,2025-09-11,open,2140772,2140772
ACC000114,CUST000114,wallet,UGX,2023-07-07,open,735592,527832
ACC000115,CUST000115,merchant,UGX,2024-02-13,open,3195136,3195136
ACC000116,CUST000116,savings,UGX,2023-10-08,frozen,2819531,2762261
ACC000117,CUST000117,checking,UGX,2023-03-23,open,1990154,1879274
ACC000118,CUST000118,checking,UGX,2024-11-25,open,3063823,3063823
ACC000119,CUST000119,merchant,UGX,2025-09-18,open,1255049,1242959
ACC000120,CUST000120,checking,UGX,2025-04-03,open,780185,659285
ACC000121,CUST000121,merchant,UGX,2025-08-23,open,2013740,1983060
ACC000122,CUST000122,merchant,UGX,2024-04-11,frozen,1222724,1059324
ACC000123,CUST000123,merchant,UGX,2026-01-07,frozen,853493,720503
ACC000124,CUST000124,merchant,UGX,2024-11-27,frozen,908123,799313
ACC000125,CUST000125,wallet,UGX,2023-01-05,frozen,1454172,1402902
ACC000126,CUST000126,checking,UGX,2023-07-30,frozen,1195929,1006119
ACC000127,CUST000127,savings,UGX,2023-11-14,frozen,1695460,1558740
ACC000128,CUST000128,wallet,UGX,2025-01-10,open,846480,631720
ACC000129,CUST000129,merchant,UGX,2024-07-16,open,814986,560316
ACC000130,CUST000130,savings,UGX,2025-10-23,open,467228,297968
ACC000131,CUST000131,merchant,UGX,2025-04-24,frozen,1073428,950708
ACC000132,CUST000132,checking,UGX,2022-12-23,open,1450193,1353473
ACC000133,CUST000133,checking,UGX,2025-06-18,open,1263339,1166619
ACC000134,CUST000134,wallet,UGX,2024-01-21,open,855621,770991
ACC000135,CUST000135,checking,UGX,2023-08-20,open,674919,460159
ACC000136,CUST000136,savings,UGX,2025-07-21,frozen,837585,684185
ACC000137,CUST000137,merchant,UGX,2024-07-16,open,2221315,2123275
ACC000138,CUST000138,savings,UGX,2024-12-16,open,1115985,1091805
ACC000139,CUST000139,savings,UGX,2025-09-02,open,964239,831249
ACC000140,CUST000140,savings,UGX,2024-09-01,frozen,1503675,1414635
ACC000141,CUST000141,savings,UGX,2026-01-16,open,681711,554221
ACC000142,CUST000142,wallet,UGX,2026-01-29,open,1718953,1718953
ACC000143,CUST000143,wallet,UGX,2024-08-19,frozen,3147285,3109105
ACC000144,CUST000144,wallet,UGX,2024-01-31,open,2098535,2035175
ACC000145,CUST000145,wallet,UGX,2025-02-16,open,2524246,2483066
ACC000146,CUST000146,checking,UGX,2024-12-01,open,1345900,1299540
ACC000147,CUST000147,wallet,UGX,2023-04-18,open,1673048,1641368
ACC000148,CUST000148,savings,UGX,2025-08-22,open,951545,893595
ACC000149,CUST000149,savings,UGX,2023-10-20,open,799548,683648
ACC000150,CUST000150,wallet,UGX,2024-01-11,open,1230074,1000994
ACC000151,CUST000151,wallet,UGX,2023-02-19,open,2066812,2066812
ACC000152,CUST000152,wallet,UGX,2024-01-15,open,672402,556502
ACC000153,CUST000153,checking,UGX,2025-04-24,open,3192101,3192101
ACC000154,CUST000154,checking,UGX,2025-10-16,open,1169326,972676
ACC000155,CUST000155,wallet,UGX,2024-04-24,open,1757903,1561253
ACC000156,CUST000156,wallet,UGX,2024-08-12,open,2956988,2853663
ACC000157,CUST000157,savings,UGX,2025-03-07,frozen,2278060,2236730
ACC000158,CUST000158,checking,UGX,2024-09-03,frozen,1595684,1447949
ACC000159,CUST000159,merchant,UGX,2025-07-18,open,2126923,2044848
ACC000160,CUST000160,checking,UGX,2026-02-09,open,4210155,4186240
ACC000161,CUST000161,checking,UGX,2025-09-21,frozen,4018100,3970270
ACC000162,CUST000162,savings,UGX,2024-09-17,open,2004706,1839386
ACC000163,CUST000163,wallet,UGX,2023-09-19,open,1843250,1777590
ACC000164,CUST000164,wallet,UGX,2024-08-06,open,2215229,2156234
ACC000165,CUST000165,merchant,UGX,2024-06-28,frozen,2087547,1963557
ACC000166,CUST000166,savings,UGX,2024-09-30,open,2699103,2600778
ACC000167,CUST000167,merchant,UGX,2026-01-20,open,1350809,1268734
ACC000168,CUST000168,merchant,UGX,2025-08-05,open,2809811,2642406
ACC000169,CUST000169,checking,UGX,2025-10-27,open,1090341,815031
ACC000170,CUST000170,merchant,UGX,2024-03-30,frozen,2198492,1995172
ACC000171,CUST000171,wallet,UGX,2023-03-12,open,895947,682552
ACC000172,CUST000172,merchant,UGX,2025-05-05,frozen,1879668,1574688
ACC000173,CUST000173,merchant,UGX,2025-06-04,frozen,1882164,1882164
ACC000174,CUST000174,wallet,UGX,2026-01-21,open,2564688,2548273
ACC000175,CUST000175,savings,UGX,2025-07-08,frozen,2900496,2798836
ACC000176,CUST000176,checking,UGX,2025-06-22,open,1500661,1329341
ACC000177,CUST000177,merchant,UGX,2023-07-18,open,620952,358312
ACC000178,CUST000178,wallet,UGX,2024-08-29,open,1656552,1528062
ACC000179,CUST000179,merchant,UGX,2024-07-20,open,946892,733497
ACC000180,CUST000180,wallet,UGX,2023-03-19,open,1682532,1682532
ACC000181,CUST000181,checking,UGX,2023-07-30,open,1602603,1471283
ACC000182,CUST000182,checking,UGX,2024-08-12,open,2450663,2450663
ACC000183,CUST000183,wallet,UGX,2025-04-28,frozen,1257928,970948
ACC000184,CUST000184,checking,UGX,2023-10-20,open,2237237,2237237
ACC000185,CUST000185,wallet,UGX,2023-02-13,open,2156391,2012901
ACC000186,CUST000186,savings,UGX,2025-04-20,open,1179934,973284
ACC000187,CUST000187,merchant,UGX,2023-05-02,frozen,1821132,1624482
ACC000188,CUST000188,checking,UGX,2023-02-13,open,1709965,1566475
ACC000189,CUST000189,checking,UGX,2026-01-20,open,1667465,1380485
ACC000190,CUST000190,merchant,UGX,2025-06-18,frozen,861425,631615
ACC000191,CUST000191,merchant,UGX,2022-12-24,open,1557429,1475354
ACC000192,CUST000192,savings,UGX,2024-08-29,open,1162842,1047937
ACC000193,CUST000193,wallet,UGX,2024-11-30,frozen,1798550,1749305
ACC000194,CUST000194,savings,UGX,2025-10-29,open,740086,381361
ACC000195,CUST000195,wallet,UGX,2023-04-20,open,2359870,2310625
ACC000196,CUST000196,wallet,UGX,2026-01-21,open,1812039,1713549
ACC000197,CUST000197,savings,UGX,2023-10-16,frozen,2316407,2316407
ACC000198,CUST000198,savings,UGX,2025-10-01,open,1489833,1262518
ACC000199,CUST000199,savings,UGX,2025-11-10,open,3698293,3602633
ACC000200,CUST000200,savings,UGX,2023-04-08,open,956586,700941
ACC000201,CUST000201,savings,UGX,2023-04-13,open,1452223,1216243
ACC000202,CUST000202,merchant,UGX,2024-10-24,frozen,1914568,1875238
ACC000203,CUST000203,savings,UGX,2025-11-10,open,1004743,693848
ACC000204,CUST000204,checking,UGX,2024-10-03,open,1396974,1216409
ACC000205,CUST000205,checking,UGX,2024-12-19,open,2304546,2113226
ACC000206,CUST000206,merchant,UGX,2024-08-23,open,2967527,2967527
ACC000207,CUST000207,checking,UGX,2023-01-22,open,2130241,2110576
ACC000208,CUST000208,wallet,UGX,2025-08-04,open,2670617,2608622
ACC000209,CUST000209,merchant,UGX,2024-08-31,open,1136667,873602
ACC000210,CUST000210,wallet,UGX,2023-04-12,open,2604898,2485323
ACC000211,CUST000211,checking,UGX,2023-02-21,open,2365091,2283016
ACC000212,CUST000212,merchant,UGX,2025-08-28,open,1625863,1461713
ACC000213,CUST000213,wallet,UGX,2025-01-10,frozen,1781638,1650318
ACC000214,CUST000214,wallet,UGX,2023-03-25,frozen,1580557,1482067
ACC000215,CUST000215,checking,UGX,2023-10-23,open,1189045,920400
ACC000216,CUST000216,merchant,UGX,2025-07-13,frozen,2410591,2394176
ACC000217,CUST000217,merchant,UGX,2023-05-25,open,1069560,813915
ACC000218,CUST000218,merchant,UGX,2023-12-01,open,2709286,2709286
ACC000219,CUST000219,wallet,UGX,2023-10-29,open,1710087,1562352
ACC000220,CUST000220,merchant,UGX,2026-02-27,frozen,669585,439775
ACC000221,CUST000221,merchant,UGX,2024-06-27,open,983257,802692
ACC000222,CUST000222,merchant,UGX,2024-09-05,open,641393,352083
ACC000223,CUST000223,merchant,UGX,2023-03-30,open,1215731,937336
ACC000224,CUST000224,wallet,UGX,2023-05-04,open,1924605,1759285
ACC000225,CUST000225,wallet,UGX,2023-06-25,frozen,1462067,1255417
ACC000226,CUST000226,savings,UGX,2026-01-07,open,1313780,1215290
ACC000227,CUST000227,wallet,UGX,2023-08-17,open,825485,612090
ACC000228,CUST000228,checking,UGX,2023-12-23,open,1766319,1618584
ACC000229,CUST000229,wallet,UGX,2025-11-12,open,2431599,2398769
ACC000230,CUST000230,merchant,UGX,2025-01-10,frozen,1354010,1255520
ACC000231,CUST000231,wallet,UGX,2025-08-26,frozen,3278884,3202639
ACC000232,CUST000232,merchant,UGX,2024-05-22,open,2854168,2854168
ACC000233,CUST000233,merchant,UGX,2025-08-27,open,2138731,2079736
ACC000234,CUST000234,merchant,UGX,2025-10-20,frozen,2601954,2519294
ACC000235,CUST000235,wallet,UGX,2026-03-09,open,2911257,2869927
ACC000236,CUST000236,merchant,UGX,2025-04-15,open,1398599,1241279
ACC000237,CUST000237,savings,UGX,2024-02-02,frozen,1332569,1184834
ACC000238,CUST000238,merchant,UGX,2026-02-22,open,2023957,1920632
ACC000239,CUST000239,wallet,UGX,2025-06-02,open,2428111,2304121
ACC000240,CUST000240,checking,UGX,2025-01-27,open,854192,657212
ACC000241,CUST000241,checking,UGX,2024-12-18,open,1199259,1018694
ACC000242,CUST000242,merchant,UGX,2024-12-26,open,1239116,928221
ACC000243,CUST000243,merchant,UGX,2023-04-12,open,2562903,2418248
ACC000244,CUST000244,savings,UGX,2025-05-16,open,2097491,1982586
ACC000245,CUST000245,wallet,UGX,2024-12-27,open,3947165,3899335
ACC000246,CUST000246,merchant,UGX,2023-09-24,open,1317803,1186483
ACC000247,CUST000247,merchant,UGX,2024-01-04,open,1130216,882236
ACC000248,CUST000248,merchant,UGX,2025-12-07,open,871790,691225
ACC000249,CUST000249,savings,UGX,2023-11-07,open,3156001,3114671
ACC000250,CUST000250,savings,UGX,2023-01-02,open,1758230,1610495
ACC000251,CUST000251,savings,UGX,2024-04-17,open,2575536,2477211
ACC000252,CUST000252,merchant,UGX,2023-02-01,open,1170991,836181
ACC000253,CUST000253,wallet,UGX,2024-12-19,frozen,719538,506143
ACC000254,CUST000254,merchant,UGX,2024-11-11,open,1761359,1761359
ACC000255,CUST000255,checking,UGX,2024-02-12,frozen,2223248,2223248
ACC000256,CUST000256,merchant,UGX,2024-01-13,open,1129805,1014900
ACC000257,CUST000257,savings,UGX,2024-01-25,frozen,2038065,2038065
ACC000258,CUST000258,savings,UGX,2025-01-29,open,1858392,1713737
ACC000259,CUST000259,savings,UGX,2023-01-18,frozen,3992775,3992775
ACC000260,CUST000260,checking,UGX,2025-02-20,open,1267904,1058754
ACC000261,CUST000261,checking,UGX,2024-12-07,open,2758299,2674639
ACC000262,CUST000262,checking,UGX,2024-12-08,frozen,4000776,4000776
ACC000263,CUST000263,savings,UGX,2025-02-18,frozen,1028844,777864
ACC000264,CUST000264,wallet,UGX,2025-07-14,open,1990384,1843979
ACC000265,CUST000265,wallet,UGX,2025-07-04,open,3701578,3629083
ACC000266,CUST000266,checking,UGX,2025-07-02,open,2572253,2288103
ACC000267,CUST000267,wallet,UGX,2023-04-22,open,4728293,4728293
ACC000268,CUST000268,savings,UGX,2025-06-05,open,2697354,2504034
ACC000269,CUST000269,merchant,UGX,2025-04-28,open,4739438,4739438
ACC000270,CUST000270,wallet,UGX,2025-01-27,open,3402165,3174845
ACC000271,CUST000271,wallet,UGX,2024-05-17,open,3128779,3066034
ACC000272,CUST000272,checking,UGX,2025-02-21,frozen,2153774,2091029
ACC000273,CUST000273,savings,UGX,2023-03-16,open,1358581,1149431
ACC000274,CUST000274,checking,UGX,2024-03-04,frozen,2990583,2789263
ACC000275,CUST000275,savings,UGX,2023-08-08,open,971898,594423
ACC000276,CUST000276,checking,UGX,2022-12-21,open,1385976,1134326
ACC000277,CUST000277,merchant,UGX,2024-09-28,open,1584837,1480262
ACC000278,CUST000278,wallet,UGX,2025-08-09,open,2384649,2363734
ACC000279,CUST000279,savings,UGX,2025-10-12,open,2159464,2013059
ACC000280,CUST000280,savings,UGX,2023-07-18,open,2208558,1931743
ACC000281,CUST000281,merchant,UGX,2023-12-30,open,3528297,3528297
ACC000282,CUST000282,merchant,UGX,2024-11-06,open,1303789,1052809
ACC000283,CUST000283,checking,UGX,2024-09-26,open,3034835,2930260
ACC000284,CUST000284,merchant,UGX,2023-09-06,open,2208232,2135737
ACC000285,CUST000285,checking,UGX,2023-06-18,open,3004581,2853591
ACC000286,CUST000286,wallet,UGX,2024-04-04,open,2688003,2567178
ACC000287,CUST000287,savings,UGX,2023-01-10,open,1775913,1434933
ACC000288,CUST000288,merchant,UGX,2023-01-16,open,2006744,1830589
ACC000289,CUST000289,checking,UGX,2025-11-07,open,2011421,1759771
ACC000290,CUST000290,wallet,UGX,2024-01-08,frozen,2835788,2551638
ACC000291,CUST000291,savings,UGX,2023-11-07,open,2617391,2592226
ACC000292,CUST000292,savings,UGX,2024-09-14,open,2180412,2180412
ACC000293,CUST000293,wallet,UGX,2024-08-25,open,2824524,2719949
ACC000294,CUST000294,merchant,UGX,2025-05-17,open,3139321,3063826
ACC000295,CUST000295,checking,UGX,2025-03-14,open,2704383,2448648
ACC000296,CUST000296,savings,UGX,2024-11-16,frozen,3699482,3557407
ACC000297,CUST000297,checking,UGX,2024-05-27,open,3254204,3112129
ACC000298,CUST000298,merchant,UGX,2025-04-27,open,969795,543570
ACC000299,CUST000299,checking,UGX,2025-10-27,frozen,3558354,3457694
ACC000300,CUST000300,wallet,UGX,2023-11-03,open,1744687,1403707
ACC000301,CUST000301,wallet,UGX,2024-12-06,open,1781394,1593159
ACC000302,CUST000302,merchant,UGX,2025-06-04,open,2934704,2913789
ACC000303,CUST000303,wallet,UGX,2025-03-10,open,4432517,4318857
ACC000304,CUST000304,merchant,UGX,2025-02-26,open,1191112,876967
ACC000305,CUST000305,checking,UGX,2025-08-06,open,3374301,3248476
ACC000306,CUST000306,wallet,UGX,2025-05-08,open,4041297,4041297
ACC000307,CUST000307,savings,UGX,2025-10-28,open,1177926,850781
ACC000308,CUST000308,merchant,UGX,2024-12-06,open,2575219,2533389
ACC000309,CUST000309,checking,UGX,2024-05-02,frozen,2298557,2071237
ACC000310,CUST000310,checking,UGX,2024-05-05,frozen,2958355,2895610
ACC000311,CUST000311,merchant,UGX,2025-06-07,open,3576639,3576639
ACC000312,CUST000312,checking,UGX,2025-09-25,open,1656697,1656697
ACC000313,CUST000313,merchant,UGX,2023-10-14,open,1636568,1636568
ACC000314,CUST000314,checking,UGX,2023-03-19,frozen,2267931,2227751
ACC000315,CUST000315,checking,UGX,2024-07-23,open,850819,660739
ACC000316,CUST000316,savings,UGX,2025-01-09,open,484400,320730
ACC000317,CUST000317,wallet,UGX,2026-01-11,open,2000278,1865558
ACC000318,CUST000318,savings,UGX,2023-04-07,open,1094562,1031612
ACC000319,CUST000319,wallet,UGX,2025-10-30,open,867250,779120
ACC000320,CUST000320,checking,UGX,2025-01-26,open,2058484,1928944
ACC000321,CUST000321,wallet,UGX,2024-06-06,open,2622274,2622274
ACC000322,CUST000322,checking,UGX,2023-09-08,open,1638648,1527768
ACC000323,CUST000323,checking,UGX,2024-07-12,open,1558155,1507795
ACC000324,CUST000324,checking,UGX,2024-09-19,open,2150060,2150060
ACC000325,CUST000325,savings,UGX,2024-09-22,open,486184,309924
ACC000326,CUST000326,savings,UGX,2026-02-07,open,2512573,2428373
ACC000327,CUST000327,merchant,UGX,2025-02-23,open,2226236,2226236
ACC000328,CUST000328,checking,UGX,2025-01-18,open,2312250,2151530
ACC000329,CUST000329,wallet,UGX,2024-10-18,open,780770,519600
ACC000330,CUST000330,wallet,UGX,2024-10-01,frozen,989330,770410
ACC000331,CUST000331,wallet,UGX,2025-09-05,open,1277517,1214567
ACC000332,CUST000332,savings,UGX,2023-07-21,open,1756258,1692898
ACC000333,CUST000333,savings,UGX,2025-08-28,open,367503,98063
ACC000334,CUST000334,checking,UGX,2024-12-19,open,911279,630019
ACC000335,CUST000335,merchant,UGX,2023-03-17,frozen,1799480,1598580
ACC000336,CUST000336,savings,UGX,2023-12-31,open,1400141,1159061
ACC000337,CUST000337,wallet,UGX,2025-01-25,open,2511639,2494799
ACC000338,CUST000338,merchant,UGX,2024-04-27,open,1766726,1716206
ACC000339,CUST000339,wallet,UGX,2024-07-13,open,3810877,3810877
ACC000340,CUST000340,merchant,UGX,2025-02-07,frozen,814410,688510
ACC000341,CUST000341,savings,UGX,2024-09-08,open,811658,647988
ACC000342,CUST000342,merchant,UGX,2024-11-04,open,1889443,1788403
ACC000343,CUST000343,wallet,UGX,2024-02-23,open,3474130,3474130
ACC000344,CUST000344,checking,UGX,2023-10-15,open,767248,593008
ACC000345,CUST000345,merchant,UGX,2023-08-18,frozen,889541,721141
ACC000346,CUST000346,merchant,UGX,2025-08-14,open,3454694,3454694
ACC000347,CUST000347,merchant,UGX,2024-02-01,frozen,1540383,1515203
ACC000348,CUST000348,wallet,UGX,2023-05-13,open,1997343,1902303
ACC000349,CUST000349,wallet,UGX,2025-11-30,open,418000,241740
ACC000350,CUST000350,checking,UGX,2025-10-05,open,1392402,1325042
ACC000351,CUST000351,wallet,UGX,2026-03-27,open,929729,791239
ACC000352,CUST000352,merchant,UGX,2025-06-28,open,877417,687337
ACC000353,CUST000353,savings,UGX,2025-04-08,open,3089655,3072815
ACC000354,CUST000354,wallet,UGX,2025-06-30,open,1505131,1490541
ACC000355,CUST000355,savings,UGX,2023-06-16,open,864944,615184
ACC000356,CUST000356,checking,UGX,2026-02-27,open,682710,432950
ACC000357,CUST000357,checking,UGX,2025-11-27,frozen,2022026,2007436
ACC000358,CUST000358,merchant,UGX,2024-09-18,open,2713208,2698618
ACC000359,CUST000359,checking,UGX,2026-01-29,open,3625052,3625052
ACC000360,CUST000360,merchant,UGX,2025-05-14,frozen,954937,680677
ACC000361,CUST000361,wallet,UGX,2025-04-15,frozen,1709895,1695305
ACC000362,CUST000362,checking,UGX,2024-01-02,open,957193,767523
ACC000363,CUST000363,wallet,UGX,2025-01-14,frozen,658451,483371
ACC000364,CUST000364,savings,UGX,2025-10-14,open,738940,534680
ACC000365,CUST000365,merchant,UGX,2023-01-05,frozen,2509435,2480255
ACC000366,CUST000366,wallet,UGX,2024-01-10,open,824116,536946
ACC000367,CUST000367,savings,UGX,2023-01-22,open,1967116,1894166
ACC000368,CUST000368,savings,UGX,2023-01-09,open,1769220,1592500
ACC000369,CUST000369,wallet,UGX,2024-05-03,open,1428671,1326541
ACC000370,CUST000370,merchant,UGX,2024-09-29,open,562342,312582
ACC000371,CUST000371,savings,UGX,2024-04-17,open,1146379,1029659
ACC000372,CUST000372,merchant,UGX,2025-08-14,open,2438496,2420656
ACC000373,CUST000373,checking,UGX,2024-05-25,open,2350038,2274678
ACC000374,CUST000374,wallet,UGX,2023-12-31,open,1285788,1094888
ACC000375,CUST000375,checking,UGX,2024-06-24,open,954427,582167
ACC000376,CUST000376,merchant,UGX,2025-04-27,frozen,3590714,3590714
ACC000377,CUST000377,wallet,UGX,2024-12-20,open,1159275,813605
ACC000378,CUST000378,savings,UGX,2026-01-15,frozen,1321556,1187926
ACC000379,CUST000379,savings,UGX,2025-09-12,open,3106775,3082685
ACC000380,CUST000380,merchant,UGX,2023-05-24,open,4561893,4561893
ACC000381,CUST000381,merchant,UGX,2025-02-09,open,1062880,794800
ACC000382,CUST000382,checking,UGX,2025-12-21,open,4499378,4499378
