alert_id,transaction_id,account_id,alert_date,risk_score,alert_type,alert_status
FRAUD0000101,TXN00000127,ACC000921,2025-08-21,56,large_amount,reviewed
FRAUD0000102,TXN00000128,ACC000921,2025-05-29,97,velocity,open
FRAUD0000103,TXN00000129,ACC000922,2024-07-22,67,large_amount,reviewed
FRAUD0000104,TXN00000130,ACC000922,2025-08-23,51,large_amount,reviewed
FRAUD0000105,TXN00000131,ACC000922,2024-05-05,58,large_amount,reviewed
FRAUD0000106,TXN00000132,ACC000922,2025-06-08,90,large_amount,open
FRAUD0000107,TXN00000133,ACC000922,2024-10-13,40,large_amount,reviewed
FRAUD0000108,TXN00000135,ACC000922,2025-08-31,22,large_amount,reviewed
FRAUD0000109,TXN00000136,ACC000922,2024-04-21,70,large_amount,reviewed
FRAUD0000110,TXN00000137,ACC000860,2025-10-23,56,large_amount,reviewed
FRAUD0000111,TXN00000138,ACC000860,2024-01-04,25,large_amount,reviewed
FRAUD0000112,TXN00000139,ACC000860,2024-04-24,29,large_amount,reviewed
FRAUD0000113,TXN00000140,ACC000860,2025-09-20,78,large_amount,open
FRAUD0000114,TXN00000141,ACC000860,2024-05-13,46,large_amount,reviewed
FRAUD0000115,TXN00000142,ACC000860,2025-07-07,85,large_amount,open
FRAUD0000116,TXN00000143,ACC000860,2025-07-18,72,large_amount,open
FRAUD0000117,TXN00000144,ACC000860,2024-10-16,83,large_amount,open
FRAUD0000118,TXN00000146,ACC000861,2024-06-16,42,large_amount,reviewed
FRAUD0000119,TXN00000147,ACC000861,2025-06-09,85,large_amount,open
FRAUD0000120,TXN00000148,ACC000861,2024-07-08,93,velocity,open
FRAUD0000121,TXN00000149,ACC000861,2025-02-23,64,large_amount,reviewed
FRAUD0000122,TXN00000150,ACC000861,2024-09-20,100,velocity,open
FRAUD0000123,TXN00000151,ACC000861,2025-10-18,84,large_amount,open
FRAUD0000124,TXN00000152,ACC000861,2024-09-16,72,large_amount,open
FRAUD0000125,TXN00000154,ACC000862,2024-01-22,55,large_amount,reviewed
FRAUD0000126,TXN00000155,ACC000862,2024-11-19,66,large_amount,reviewed
FRAUD0000127,TXN00000157,ACC000862,2025-10-11,97,velocity,open
FRAUD0000128,TXN00000158,ACC000862,2025-02-17,45,large_amount,reviewed
FRAUD0000129,TXN00000159,ACC000862,2025-09-18,72,large_amount,open
FRAUD0000130,TXN00000160,ACC000862,2025-07-08,93,velocity,open
FRAUD0000131,TXN00000161,ACC000863,2024-10-29,82,large_amount,open
FRAUD0000132,TXN00000162,ACC000863,2025-08-12,20,large_amount,reviewed
FRAUD0000133,TXN00000163,ACC000863,2024-12-23,46,large_amount,reviewed
FRAUD0000134,TXN00000164,ACC000863,2024-09-03,39,failed_auth,reviewed
FRAUD0000135,TXN00000165,ACC000863,2025-06-05,73,large_amount,open
FRAUD0000136,TXN00000166,ACC000863,2024-07-25,45,large_amount,reviewed
FRAUD0000137,TXN00000167,ACC000863,2025-02-03,67,large_amount,reviewed
FRAUD0000138,TXN00000168,ACC000863,2024-07-23,73,large_amount,open
FRAUD0000139,TXN00000169,ACC000864,2025-04-09,44,large_amount,reviewed
FRAUD0000140,TXN00000170,ACC000864,2025-08-28,53,large_amount,reviewed
FRAUD0000141,TXN00000171,ACC000864,2025-04-27,92,velocity,open
FRAUD0000142,TXN00000172,ACC000864,2024-06-16,46,large_amount,reviewed
FRAUD0000143,TXN00000173,ACC000864,2025-08-13,99,velocity,open
FRAUD0000144,TXN00000174,ACC000864,2024-10-15,86,large_amount,open
FRAUD0000145,TXN00000175,ACC000864,2024-04-18,84,large_amount,open
FRAUD0000146,TXN00000176,ACC000864,2025-06-21,25,large_amount,reviewed
FRAUD0000147,TXN00000177,ACC000719,2024-01-14,80,large_amount,open
FRAUD0000148,TXN00000178,ACC000719,2024-09-05,64,large_amount,reviewed
FRAUD0000149,TXN00000180,ACC000719,2024-01-04,60,large_amount,reviewed
FRAUD0000150,TXN00000181,ACC000719,2024-06-12,53,large_amount,reviewed
FRAUD0000151,TXN00000182,ACC000719,2025-10-16,42,large_amount,reviewed
FRAUD0000152,TXN00000186,ACC000720,2025-05-18,37,large_amount,reviewed
FRAUD0000153,TXN00000187,ACC000720,2024-03-25,29,large_amount,reviewed
FRAUD0000154,TXN00000188,ACC000720,2024-01-14,100,velocity,open
FRAUD0000155,TXN00000189,ACC000720,2024-03-04,36,large_amount,reviewed
FRAUD0000156,TXN00000190,ACC000720,2024-07-09,23,large_amount,reviewed
FRAUD0000157,TXN00000191,ACC000720,2024-04-08,95,velocity,open
FRAUD0000158,TXN00000192,ACC000720,2025-11-13,83,large_amount,open
FRAUD0000159,TXN00000193,ACC000721,2024-01-25,20,large_amount,reviewed
FRAUD0000160,TXN00000194,ACC000721,2024-12-10,64,large_amount,reviewed
FRAUD0000161,TXN00000195,ACC000721,2025-02-19,68,large_amount,reviewed
FRAUD0000162,TXN00000198,ACC000721,2024-04-15,39,large_amount,reviewed
FRAUD0000163,TXN00000199,ACC000721,2024-08-03,72,large_amount,open
FRAUD0000164,TXN00000200,ACC000721,2024-08-19,33,large_amount,reviewed
FRAUD0000165,TXN00000201,ACC000722,2025-10-31,49,large_amount,reviewed
FRAUD0000166,TXN00000202,ACC000722,2025-11-16,91,velocity,open
FRAUD0000167,TXN00000203,ACC000722,2025-05-03,88,large_amount,open
FRAUD0000168,TXN00000204,ACC000722,2024-08-15,60,large_amount,reviewed
FRAUD0000169,TXN00000205,ACC000722,2025-10-04,40,large_amount,reviewed
FRAUD0000170,TXN00000206,ACC000722,2025-03-09,44,large_amount,reviewed
FRAUD0000171,TXN00000207,ACC000722,2024-09-11,61,large_amount,reviewed
FRAUD0000172,TXN00000208,ACC000722,2024-07-14,79,large_amount,open
FRAUD0000173,TXN00000209,ACC000660,2024-12-12,81,large_amount,open
FRAUD0000174,TXN00000210,ACC000660,2025-05-25,100,velocity,open
FRAUD0000175,TXN00000211,ACC000660,2024-05-04,30,large_amount,reviewed
FRAUD0000176,TXN00000212,ACC000660,2024-11-28,41,failed_auth,reviewed
FRAUD0000177,TXN00000213,ACC000660,2025-10-23,49,large_amount,reviewed
FRAUD0000178,TXN00000214,ACC000660,2024-12-02,72,large_amount,open
FRAUD0000179,TXN00000215,ACC000660,2024-12-03,43,large_amount,reviewed
FRAUD0000180,TXN00000216,ACC000660,2025-11-10,91,velocity,open
FRAUD0000181,TXN00000217,ACC000661,2024-09-19,51,large_amount,reviewed
FRAUD0000182,TXN00000218,ACC000661,2024-12-29,88,large_amount,open
FRAUD0000183,TXN00000219,ACC000661,2025-05-02,47,large_amount,reviewed
FRAUD0000184,TXN00000220,ACC000661,2025-01-22,31,large_amount,reviewed
FRAUD0000185,TXN00000221,ACC000661,2024-11-16,67,large_amount,reviewed
FRAUD0000186,TXN00000224,ACC000661,2024-10-03,50,large_amount,reviewed
FRAUD0000187,TXN00000225,ACC000662,2024-01-19,86,failed_auth,open
FRAUD0000188,TXN00000226,ACC000662,2025-02-25,46,large_amount,reviewed
FRAUD0000189,TXN00000227,ACC000662,2024-05-29,94,velocity,open
FRAUD0000190,TXN00000228,ACC000662,2024-10-28,32,large_amount,reviewed
FRAUD0000191,TXN00000229,ACC000662,2025-04-16,53,large_amount,reviewed
FRAUD0000192,TXN00000230,ACC000662,2025-01-11,68,large_amount,reviewed
FRAUD0000193,TXN00000231,ACC000662,2024-06-29,22,large_amount,reviewed
FRAUD0000194,TXN00000232,ACC000662,2025-02-25,41,large_amount,reviewed
FRAUD0000195,TXN00000238,ACC000663,2024-04-27,41,large_amount,reviewed
FRAUD0000196,TXN00000239,ACC000663,2024-02-11,57,large_amount,reviewed
FRAUD0000197,TXN00000241,ACC000664,2024-10-09,38,large_amount,reviewed
FRAUD0000198,TXN00000243,ACC000664,2024-06-10,89,large_amount,open
FRAUD0000199,TXN00000245,ACC000664,2024-06-06,95,velocity,open
FRAUD0000200,TXN00000246,ACC000664,2024-08-28,78,large_amount,open
FRAUD0000201,TXN00000247,ACC000664,2024-11-01,80,large_amount,open
FRAUD0000202,TXN00000248,ACC000664,2025-02-06,83,large_amount,open
FRAUD0000203,TXN00000249,ACC000665,2025-11-29,91,velocity,open
FRAUD0000204,TXN00000251,ACC000665,2025-01-13,38,large_amount,reviewed
FRAUD0000205,TXN00000252,ACC000665,2024-09-01,25,large_amount,reviewed
FRAUD0000206,TXN00000253,ACC000665,2024-02-07,60,failed_auth,reviewed
FRAUD0000207,TXN00000254,ACC000665,2025-09-12,59,large_amount,reviewed
FRAUD0000208,TXN00000255,ACC000665,2024-08-14,21,large_amount,reviewed
FRAUD0000209,TXN00000256,ACC000665,2025-09-21,46,large_amount,reviewed
FRAUD0000210,TXN00000257,ACC000666,2025-06-08,72,large_amount,open
FRAUD0000211,TXN00000258,ACC000666,2025-04-25,58,failed_auth,reviewed
FRAUD0000212,TXN00000260,ACC000666,2025-03-29,54,large_amount,reviewed
FRAUD0000213,TXN00000261,ACC000666,2025-11-20,25,large_amount,reviewed
FRAUD0000214,TXN00000262,ACC000666,2024-05-14,57,large_amount,reviewed
FRAUD0000215,TXN00000263,ACC000666,2025-05-19,42,large_amount,reviewed
FRAUD0000216,TXN00000264,ACC000666,2024-09-30,86,large_amount,open
FRAUD0000217,TXN00000265,ACC002204,2024-07-17,38,large_amount,reviewed
FRAUD0000218,TXN00000266,ACC002204,2024-09-29,24,large_amount,reviewed
FRAUD0000219,TXN00000267,ACC002204,2024-08-30,78,failed_auth,open
FRAUD0000220,TXN00000268,ACC002204,2025-09-17,55,large_amount,reviewed
FRAUD0000221,TXN00000269,ACC002204,2024-06-09,38,large_amount,reviewed
FRAUD0000222,TXN00000270,ACC002204,2025-07-31,20,large_amount,reviewed
FRAUD0000223,TXN00000271,ACC002204,2024-01-07,60,large_amount,reviewed
FRAUD0000224,TXN00000272,ACC002204,2025-03-22,94,velocity,open
FRAUD0000225,TXN00000273,ACC002205,2025-05-15,26,large_amount,reviewed
FRAUD0000226,TXN00000274,ACC002205,2024-01-20,91,velocity,open
FRAUD0000227,TXN00000280,ACC002205,2024-06-02,40,large_amount,reviewed
FRAUD0000228,TXN00000281,ACC002206,2024-11-02,36,large_amount,reviewed
FRAUD0000229,TXN00000282,ACC002206,2025-02-06,25,large_amount,reviewed
FRAUD0000230,TXN00000283,ACC002206,2024-01-27,59,large_amount,reviewed
FRAUD0000231,TXN00000284,ACC002206,2024-10-25,64,large_amount,reviewed
FRAUD0000232,TXN00000285,ACC002206,2024-06-25,76,large_amount,open
FRAUD0000233,TXN00000286,ACC002206,2024-10-20,75,large_amount,open
FRAUD0000234,TXN00000288,ACC002206,2025-11-09,41,large_amount,reviewed
FRAUD0000235,TXN00000289,ACC002207,2025-10-23,58,large_amount,reviewed
FRAUD0000236,TXN00000290,ACC002207,2025-03-13,43,large_amount,reviewed
FRAUD0000237,TXN00000291,ACC002207,2024-06-11,25,large_amount,reviewed
FRAUD0000238,TXN00000293,ACC002207,2025-06-21,42,large_amount,reviewed
FRAUD0000239,TXN00000294,ACC002207,2024-07-27,91,velocity,open
FRAUD0000240,TXN00000295,ACC002207,2024-12-27,74,large_amount,open
FRAUD0000241,TXN00000296,ACC002207,2025-03-22,36,large_amount,reviewed
FRAUD0000242,TXN00000297,ACC002208,2024-07-12,52,large_amount,reviewed
FRAUD0000243,TXN00000298,ACC002208,2024-05-29,76,large_amount,open
FRAUD0000244,TXN00000299,ACC002208,2024-11-09,72,large_amount,open
FRAUD0000245,TXN00000300,ACC002208,2024-07-04,72,large_amount,open
FRAUD0000246,TXN00000301,ACC002208,2025-07-08,48,large_amount,reviewed
FRAUD0000247,TXN00000302,ACC002208,2024-09-26,75,large_amount,open
FRAUD0000248,TXN00000304,ACC002208,2024-05-03,90,large_amount,open
FRAUD0000249,TXN00000305,ACC003903,2025-06-19,48,large_amount,reviewed
FRAUD0000250,TXN00000307,ACC003903,2025-02-12,100,velocity,open
FRAUD0000251,TXN00000309,ACC003903,2024-11-15,67,large_amount,reviewed
FRAUD0000252,TXN00000310,ACC003903,2025-03-13,28,large_amount,reviewed
FRAUD0000253,TXN00000312,ACC003903,2024-03-23,25,large_amount,reviewed
FRAUD0000254,TXN00000313,ACC003903,2025-11-16,43,large_amount,reviewed
FRAUD0000255,TXN00000314,ACC003903,2024-12-18,25,large_amount,reviewed
FRAUD0000256,TXN00000316,ACC003903,2025-05-25,71,large_amount,open
FRAUD0000257,TXN00000317,ACC003904,2024-10-15,88,large_amount,open
FRAUD0000258,TXN00000318,ACC003904,2024-12-04,34,large_amount,reviewed
FRAUD0000259,TXN00000319,ACC003904,2024-06-03,98,velocity,open
FRAUD0000260,TXN00000320,ACC003904,2025-03-28,68,large_amount,reviewed
FRAUD0000261,TXN00000321,ACC003904,2025-09-15,99,velocity,open
FRAUD0000262,TXN00000323,ACC003904,2024-10-01,70,large_amount,reviewed
FRAUD0000263,TXN00000326,ACC003904,2024-10-24,41,large_amount,reviewed
FRAUD0000264,TXN00000327,ACC003904,2025-05-03,96,velocity,open
FRAUD0000265,TXN00000328,ACC003904,2025-11-22,59,large_amount,reviewed
FRAUD0000266,TXN00000330,ACC003905,2024-06-07,43,large_amount,reviewed
FRAUD0000267,TXN00000331,ACC003905,2024-07-05,97,velocity,open
FRAUD0000268,TXN00000332,ACC003905,2025-09-15,78,large_amount,open
FRAUD0000269,TXN00000333,ACC003905,2025-01-04,71,large_amount,open
FRAUD0000270,TXN00000336,ACC003905,2024-03-31,76,large_amount,open
FRAUD0000271,TXN00000337,ACC003905,2025-11-04,35,large_amount,reviewed
FRAUD0000272,TXN00000338,ACC003905,2025-10-09,29,large_amount,reviewed
FRAUD0000273,TXN00000339,ACC003905,2025-11-15,20,large_amount,reviewed
FRAUD0000274,TXN00000340,ACC003905,2024-10-16,34,large_amount,reviewed
FRAUD0000275,TXN00000341,ACC003906,2024-01-04,57,large_amount,reviewed
FRAUD0000276,TXN00000342,ACC003906,2025-06-02,68,large_amount,reviewed
FRAUD0000277,TXN00000343,ACC003906,2024-08-02,57,large_amount,reviewed
FRAUD0000278,TXN00000344,ACC003906,2025-06-16,82,large_amount,open
FRAUD0000279,TXN00000347,ACC003906,2024-09-28,36,large_amount,reviewed
FRAUD0000280,TXN00000349,ACC003906,2025-01-24,25,large_amount,reviewed
FRAUD0000281,TXN00000350,ACC003906,2024-08-14,24,large_amount,reviewed
FRAUD0000282,TXN00000351,ACC003906,2024-08-25,42,large_amount,reviewed
FRAUD0000283,TXN00000352,ACC003906,2024-12-17,94,velocity,open
FRAUD0000284,TXN00000353,ACC003907,2025-08-30,45,large_amount,reviewed
FRAUD0000285,TXN00000354,ACC003907,2024-07-13,31,large_amount,reviewed
FRAUD0000286,TXN00000356,ACC003907,2024-05-11,67,large_amount,reviewed
FRAUD0000287,TXN00000357,ACC003907,2024-03-04,83,large_amount,open
FRAUD0000288,TXN00000358,ACC003907,2025-09-09,36,large_amount,reviewed
FRAUD0000289,TXN00000359,ACC003907,2025-02-15,55,large_amount,reviewed
FRAUD0000290,TXN00000360,ACC003907,2025-10-30,88,large_amount,open
FRAUD0000291,TXN00000361,ACC003907,2024-11-25,65,large_amount,reviewed
FRAUD0000292,TXN00000363,ACC003907,2024-08-12,24,large_amount,reviewed
FRAUD0000293,TXN00000364,ACC003907,2024-07-26,38,large_amount,reviewed
FRAUD0000294,TXN00000365,ACC003908,2024-11-08,95,velocity,open
FRAUD0000295,TXN00000366,ACC003908,2024-04-24,94,velocity,open
FRAUD0000296,TXN00000367,ACC003908,2024-12-14,86,failed_auth,open
FRAUD0000297,TXN00000368,ACC003908,2024-04-15,61,large_amount,reviewed
FRAUD0000298,TXN00000369,ACC003908,2024-06-12,58,large_amount,reviewed
FRAUD0000299,TXN00000370,ACC003908,2025-02-14,72,large_amount,open
FRAUD0000300,TXN00000372,ACC003908,2024-01-05,58,large_amount,reviewed
FRAUD0000301,TXN00000373,ACC003908,2024-03-20,72,large_amount,open
FRAUD0000302,TXN00000374,ACC003908,2024-02-07,73,large_amount,open
FRAUD0000303,TXN00000375,ACC003908,2024-01-20,57,large_amount,reviewed
FRAUD0000304,TXN00000376,ACC003908,2025-09-12,22,failed_auth,reviewed
FRAUD0000305,TXN00000379,ACC003909,2024-07-18,86,large_amount,open
FRAUD0000306,TXN00000380,ACC003909,2025-01-06,20,large_amount,reviewed
FRAUD0000307,TXN00000381,ACC003909,2025-06-22,85,large_amount,open
FRAUD0000308,TXN00000382,ACC003909,2025-03-12,59,large_amount,reviewed
FRAUD0000309,TXN00000383,ACC003909,2025-04-19,44,large_amount,reviewed
FRAUD0000310,TXN00000384,ACC003909,2024-03-13,47,large_amount,reviewed
FRAUD0000311,TXN00000385,ACC003909,2024-01-22,69,large_amount,reviewed
FRAUD0000312,TXN00000386,ACC003909,2024-11-02,24,large_amount,reviewed
FRAUD0000313,TXN00000388,ACC003909,2024-01-02,86,large_amount,open
FRAUD0000314,TXN00000389,ACC003910,2024-06-06,47,large_amount,reviewed
FRAUD0000315,TXN00000390,ACC003910,2024-05-23,84,large_amount,open
FRAUD0000316,TXN00000392,ACC003910,2024-07-03,57,large_amount,reviewed
FRAUD0000317,TXN00000393,ACC003910,2024-05-31,86,large_amount,open
FRAUD0000318,TXN00000394,ACC003910,2025-03-01,37,large_amount,reviewed
FRAUD0000319,TXN00000395,ACC003910,2025-07-27,42,large_amount,reviewed
FRAUD0000320,TXN00000396,ACC003910,2024-11-02,38,large_amount,reviewed
FRAUD0000321,TXN00000397,ACC003910,2024-06-05,59,large_amount,reviewed
FRAUD0000322,TXN00000398,ACC003910,2025-04-08,32,large_amount,reviewed
FRAUD0000323,TXN00000400,ACC003910,2024-09-16,97,velocity,open
FRAUD0000324,TXN00000401,ACC003911,2024-10-26,21,large_amount,reviewed
FRAUD0000325,TXN00000402,ACC003911,2024-08-26,91,velocity,open
FRAUD0000326,TXN00000404,ACC003911,2024-04-01,74,large_amount,open
FRAUD0000327,TXN00000405,ACC003911,2024-08-17,70,large_amount,reviewed
FRAUD0000328,TXN00000406,ACC003911,2025-11-30,85,large_amount,open
FRAUD0000329,TXN00000407,ACC003911,2024-08-09,83,large_amount,open
FRAUD0000330,TXN00000408,ACC003911,2024-01-19,62,large_amount,reviewed
FRAUD0000331,TXN00000411,ACC003911,2024-06-18,29,large_amount,reviewed
FRAUD0000332,TXN00000412,ACC003911,2024-03-31,28,large_amount,reviewed
FRAUD0000333,TXN00000413,ACC003912,2024-08-11,38,large_amount,reviewed
FRAUD0000334,TXN00000414,ACC003912,2025-09-29,35,failed_auth,reviewed
FRAUD0000335,TXN00000415,ACC003912,2025-07-07,20,large_amount,reviewed
FRAUD0000336,TXN00000416,ACC003912,2025-09-18,46,large_amount,reviewed
FRAUD0000337,TXN00000417,ACC003912,2025-08-12,65,large_amount,reviewed
FRAUD0000338,TXN00000418,ACC003912,2024-08-20,31,large_amount,reviewed
FRAUD0000339,TXN00000419,ACC003912,2024-02-09,51,large_amount,reviewed
FRAUD0000340,TXN00000420,ACC003912,2024-11-12,50,large_amount,reviewed
FRAUD0000341,TXN00000421,ACC003912,2024-01-29,99,velocity,open
FRAUD0000342,TXN00000422,ACC003912,2024-06-10,96,velocity,open
FRAUD0000343,TXN00000423,ACC003912,2024-06-17,62,large_amount,reviewed
FRAUD0000344,TXN00000424,ACC003912,2024-03-03,68,large_amount,reviewed
FRAUD0000345,TXN00000425,ACC003913,2024-10-29,89,large_amount,open
FRAUD0000346,TXN00000426,ACC003913,2024-02-07,74,large_amount,open
FRAUD0000347,TXN00000427,ACC003913,2024-08-13,24,large_amount,reviewed
FRAUD0000348,TXN00000428,ACC003913,2024-12-21,56,failed_auth,reviewed
FRAUD0000349,TXN00000429,ACC003913,2024-12-19,28,failed_auth,reviewed
FRAUD0000350,TXN00000430,ACC003913,2024-12-22,78,large_amount,open
