repayment_id,loan_id,customer_id,payment_date,amount,payment_channel,repayment_status
REPAY0000101,LOAN000062,CUST000075,2023-09-05,173410,agent,success
REPAY0000102,LOAN000062,CUST000075,2023-10-05,65029,bank_transfer,success
REPAY0000103,LOAN000063,CUST000076,2023-07-06,461419,bank_transfer,success
REPAY0000104,LOAN000063,CUST000076,2023-08-05,269161,agent,success
REPAY0000105,LOAN000064,CUST000077,2023-10-29,306972,bank_transfer,success
REPAY0000106,LOAN000065,CUST000079,2024-01-29,413413,mobile_money,success
REPAY0000107,LOAN000065,CUST000079,2024-02-28,214974,agent,success
REPAY0000108,LOAN000066,CUST000081,2024-02-25,157973,agent,success
REPAY0000109,LOAN000066,CUST000081,2024-03-26,256706,agent,success
REPAY0000110,LOAN000067,CUST000082,2024-04-18,251780,mobile_money,success
REPAY0000111,LOAN000067,CUST000082,2024-05-18,141626,mobile_money,success
REPAY0000112,LOAN000068,CUST000083,2025-01-08,369309,mobile_money,success
REPAY0000113,LOAN000068,CUST000083,2025-02-07,88634,bank_transfer,success
REPAY0000114,LOAN000069,CUST000084,2023-10-20,252914,agent,success
REPAY0000115,LOAN000069,CUST000084,2023-11-19,91968,agent,success
REPAY0000116,LOAN000070,CUST000085,2025-07-31,131210,bank_transfer,success
REPAY0000117,LOAN000070,CUST000085,2025-08-30,72165,mobile_money,success
REPAY0000118,LOAN000071,CUST000087,2026-03-10,197823,agent,success
REPAY0000119,LOAN000071,CUST000087,2026-04-09,60207,bank_transfer,success
REPAY0000120,LOAN000072,CUST000088,2023-05-02,358784,bank_transfer,success
REPAY0000121,LOAN000073,CUST000089,2024-10-15,179802,bank_transfer,success
REPAY0000122,LOAN000074,CUST000090,2026-01-05,202399,agent,success
REPAY0000123,LOAN000074,CUST000090,2026-02-04,84333,mobile_money,success
REPAY0000124,LOAN000075,CUST000091,2023-02-15,89701,mobile_money,success
REPAY0000125,LOAN000075,CUST000091,2023-03-17,39468,mobile_money,success
REPAY0000126,LOAN000076,CUST000092,2024-03-04,550000,bank_transfer,success
REPAY0000127,LOAN000076,CUST000092,2024-04-03,400000,bank_transfer,success
REPAY0000128,LOAN000077,CUST000093,2024-01-02,91909,mobile_money,success
REPAY0000129,LOAN000078,CUST000094,2025-09-28,48079,mobile_money,success
REPAY0000130,LOAN000078,CUST000094,2025-10-28,78128,mobile_money,success
REPAY0000131,LOAN000079,CUST000097,2024-11-08,330364,mobile_money,success
REPAY0000132,LOAN000079,CUST000097,2024-12-08,231255,agent,success
REPAY0000133,LOAN000080,CUST000099,2023-09-06,500000,agent,success
REPAY0000134,LOAN000080,CUST000099,2023-10-06,175000,bank_transfer,success
REPAY0000135,LOAN000081,CUST000100,2026-02-05,212871,agent,success
REPAY0000136,LOAN000081,CUST000100,2026-03-07,149009,mobile_money,success
REPAY0000137,LOAN000082,CUST000101,2026-01-22,342771,mobile_money,success
REPAY0000138,LOAN000082,CUST000101,2026-02-21,261158,mobile_money,success
REPAY0000139,LOAN000083,CUST000103,2025-02-20,227337,agent,success
REPAY0000140,LOAN000083,CUST000103,2025-03-22,227337,mobile_money,success
REPAY0000141,LOAN000084,CUST000104,2025-01-01,271639,agent,success
REPAY0000142,LOAN000085,CUST000105,2023-06-04,58577,bank_transfer,success
REPAY0000143,LOAN000085,CUST000105,2023-07-04,53696,bank_transfer,success
REPAY0000144,LOAN000086,CUST000107,2023-10-01,61222,agent,success
REPAY0000145,LOAN000086,CUST000107,2023-10-31,37266,bank_transfer,success
REPAY0000146,LOAN000087,CUST000108,2024-01-20,123209,bank_transfer,success
REPAY0000147,LOAN000087,CUST000108,2024-02-19,66738,agent,success
REPAY0000148,LOAN000088,CUST000109,2025-01-09,439645,bank_transfer,success
REPAY0000149,LOAN000089,CUST000110,2024-08-24,54120,bank_transfer,success
REPAY0000150,LOAN000090,CUST000111,2025-12-31,241920,mobile_money,success
REPAY0000151,LOAN000090,CUST000111,2026-01-30,80640,agent,success
REPAY0000152,LOAN000091,CUST000112,2023-07-27,220342,mobile_money,success
REPAY0000153,LOAN000091,CUST000112,2023-08-26,136402,agent,success
REPAY0000154,LOAN000092,CUST000114,2023-08-06,392907,bank_transfer,success
REPAY0000155,LOAN000092,CUST000114,2023-09-05,283766,bank_transfer,success
REPAY0000156,LOAN000093,CUST000116,2023-11-07,82993,agent,success
REPAY0000157,LOAN000093,CUST000116,2023-12-07,52814,agent,success
REPAY0000158,LOAN000094,CUST000117,2023-04-22,132477,agent,success
REPAY0000159,LOAN000094,CUST000117,2023-05-22,168608,mobile_money,success
REPAY0000160,LOAN000095,CUST000120,2025-05-03,266088,mobile_money,success
REPAY0000161,LOAN000095,CUST000120,2025-06-02,108854,mobile_money,success
REPAY0000162,LOAN000096,CUST000121,2025-09-22,83878,agent,success
REPAY0000163,LOAN000097,CUST000122,2024-05-11,290631,mobile_money,success
REPAY0000164,LOAN000098,CUST000123,2026-02-06,165476,mobile_money,success
REPAY0000165,LOAN000098,CUST000123,2026-03-08,225649,bank_transfer,success
REPAY0000166,LOAN000099,CUST000124,2024-12-27,110969,mobile_money,success
REPAY0000167,LOAN000099,CUST000124,2025-01-26,69356,bank_transfer,success
REPAY0000168,LOAN000100,CUST000125,2023-02-04,51744,agent,success
REPAY0000169,LOAN000100,CUST000125,2023-03-06,64680,bank_transfer,success
REPAY0000170,LOAN000101,CUST000126,2023-08-29,260312,bank_transfer,success
REPAY0000171,LOAN000102,CUST000127,2023-12-14,376397,bank_transfer,success
REPAY0000172,LOAN000103,CUST000128,2025-02-09,544709,agent,success
REPAY0000173,LOAN000104,CUST000129,2024-08-15,475000,bank_transfer,success
REPAY0000174,LOAN000104,CUST000129,2024-09-14,325000,mobile_money,success
REPAY0000175,LOAN000105,CUST000130,2025-11-22,318459,agent,success
REPAY0000176,LOAN000105,CUST000130,2025-12-22,238844,mobile_money,success
REPAY0000177,LOAN000106,CUST000131,2025-05-24,137271,mobile_money,success
REPAY0000178,LOAN000106,CUST000131,2025-06-23,68635,bank_transfer,success
REPAY0000179,LOAN000107,CUST000132,2023-01-22,150364,agent,success
REPAY0000180,LOAN000107,CUST000132,2023-02-21,187955,bank_transfer,success
REPAY0000181,LOAN000108,CUST000133,2025-07-18,200209,bank_transfer,success
REPAY0000182,LOAN000108,CUST000133,2025-08-17,75078,agent,success
REPAY0000183,LOAN000109,CUST000134,2024-02-20,153061,bank_transfer,success
REPAY0000184,LOAN000109,CUST000134,2024-03-21,68027,mobile_money,success
REPAY0000185,LOAN000110,CUST000135,2023-09-19,244097,agent,success
REPAY0000186,LOAN000111,CUST000136,2025-08-20,395169,bank_transfer,success
REPAY0000187,LOAN000111,CUST000136,2025-09-19,125735,bank_transfer,success
REPAY0000188,LOAN000112,CUST000137,2024-08-15,175516,mobile_money,success
REPAY0000189,LOAN000112,CUST000137,2024-09-14,120667,mobile_money,success
REPAY0000190,LOAN000113,CUST000138,2025-01-15,86778,bank_transfer,success
REPAY0000191,LOAN000113,CUST000138,2025-02-14,18078,bank_transfer,success
REPAY0000192,LOAN000114,CUST000139,2025-10-02,182140,mobile_money,success
REPAY0000193,LOAN000114,CUST000139,2025-11-01,121427,agent,success
REPAY0000194,LOAN000115,CUST000140,2024-10-01,189856,bank_transfer,success
REPAY0000195,LOAN000116,CUST000141,2026-02-15,279038,agent,success
REPAY0000196,LOAN000116,CUST000141,2026-03-17,153471,mobile_money,success
REPAY0000197,LOAN000117,CUST000143,2024-09-18,35394,agent,success
REPAY0000198,LOAN000118,CUST000144,2024-03-01,63854,agent,success
REPAY0000199,LOAN000118,CUST000144,2024-03-31,95781,mobile_money,success
REPAY0000200,LOAN000119,CUST000145,2025-03-18,57558,agent,success
REPAY0000201,LOAN000119,CUST000145,2025-04-17,43168,mobile_money,success
REPAY0000202,LOAN000120,CUST000146,2024-12-31,63644,bank_transfer,success
REPAY0000203,LOAN000120,CUST000146,2025-01-30,39165,agent,success
REPAY0000204,LOAN000121,CUST000147,2023-05-18,43267,bank_transfer,success
REPAY0000205,LOAN000121,CUST000147,2023-06-17,27042,mobile_money,success
REPAY0000206,LOAN000122,CUST000148,2025-09-21,158453,mobile_money,success
REPAY0000207,LOAN000123,CUST000149,2023-11-19,153989,mobile_money,success
REPAY0000208,LOAN000123,CUST000149,2023-12-19,181987,mobile_money,success
REPAY0000209,LOAN000124,CUST000150,2024-02-10,502940,agent,success
REPAY0000210,LOAN000124,CUST000150,2024-03-11,311344,agent,success
REPAY0000211,LOAN000125,CUST000152,2024-02-14,325522,bank_transfer,success
REPAY0000212,LOAN000125,CUST000152,2024-03-15,195313,bank_transfer,success
REPAY0000213,LOAN000126,CUST000154,2025-11-15,405058,bank_transfer,success
REPAY0000214,LOAN000127,CUST000155,2024-05-24,210346,bank_transfer,success
REPAY0000215,LOAN000128,CUST000156,2024-09-11,258520,agent,success
REPAY0000216,LOAN000128,CUST000156,2024-10-11,147725,agent,success
REPAY0000217,LOAN000129,CUST000157,2025-04-06,141039,bank_transfer,success
REPAY0000218,LOAN000130,CUST000158,2024-10-03,387094,mobile_money,success
REPAY0000219,LOAN000130,CUST000158,2024-11-02,211142,mobile_money,success
REPAY0000220,LOAN000131,CUST000159,2025-08-17,210107,agent,success
REPAY0000221,LOAN000131,CUST000159,2025-09-16,96299,agent,success
REPAY0000222,LOAN000132,CUST000160,2026-03-11,52246,agent,success
REPAY0000223,LOAN000132,CUST000160,2026-04-10,18440,agent,success
REPAY0000224,LOAN000133,CUST000161,2025-10-21,43889,agent,success
REPAY0000225,LOAN000134,CUST000162,2024-10-17,246173,mobile_money,success
REPAY0000226,LOAN000134,CUST000162,2024-11-16,263757,agent,success
REPAY0000227,LOAN000135,CUST000163,2023-10-19,136368,agent,success
REPAY0000228,LOAN000136,CUST000164,2024-09-05,109332,bank_transfer,success
REPAY0000229,LOAN000136,CUST000164,2024-10-05,109332,mobile_money,success
REPAY0000230,LOAN000137,CUST000165,2024-07-28,310567,agent,success
REPAY0000231,LOAN000137,CUST000165,2024-08-27,74536,mobile_money,success
REPAY0000232,LOAN000138,CUST000166,2024-10-30,157679,agent,success
REPAY0000233,LOAN000138,CUST000166,2024-11-29,105119,agent,success
REPAY0000234,LOAN000139,CUST000167,2026-02-19,210397,mobile_money,success
REPAY0000235,LOAN000139,CUST000167,2026-03-21,66441,mobile_money,success
REPAY0000236,LOAN000140,CUST000168,2025-09-04,274922,agent,success
REPAY0000237,LOAN000140,CUST000168,2025-10-04,314196,bank_transfer,success
REPAY0000238,LOAN000141,CUST000169,2025-11-26,424999,agent,success
REPAY0000239,LOAN000141,CUST000169,2025-12-26,200000,bank_transfer,success
REPAY0000240,LOAN000142,CUST000170,2024-04-29,317820,agent,success
REPAY0000241,LOAN000142,CUST000170,2024-05-29,136208,agent,success
REPAY0000242,LOAN000143,CUST000171,2023-04-11,434146,mobile_money,success
REPAY0000243,LOAN000143,CUST000171,2023-05-11,217073,bank_transfer,success
REPAY0000244,LOAN000144,CUST000172,2025-06-04,375000,bank_transfer,success
REPAY0000245,LOAN000144,CUST000172,2025-07-04,325000,agent,success
REPAY0000246,LOAN000145,CUST000175,2025-08-07,278155,bank_transfer,success
REPAY0000247,LOAN000145,CUST000175,2025-09-06,120937,bank_transfer,success
REPAY0000248,LOAN000146,CUST000176,2025-07-22,374642,agent,success
REPAY0000249,LOAN000146,CUST000176,2025-08-21,214081,bank_transfer,success
REPAY0000250,LOAN000147,CUST000177,2023-08-17,625000,mobile_money,success
REPAY0000251,LOAN000148,CUST000178,2024-09-28,236116,mobile_money,success
REPAY0000252,LOAN000148,CUST000178,2024-10-28,152781,agent,success
REPAY0000253,LOAN000149,CUST000179,2024-08-19,513639,mobile_money,success
REPAY0000254,LOAN000149,CUST000179,2024-09-18,163430,bank_transfer,success
REPAY0000255,LOAN000150,CUST000181,2023-08-29,184958,bank_transfer,success
REPAY0000256,LOAN000150,CUST000181,2023-09-28,198170,agent,success
REPAY0000257,LOAN000151,CUST000183,2025-05-28,600000,agent,success
REPAY0000258,LOAN000151,CUST000183,2025-06-27,375000,mobile_money,success
REPAY0000259,LOAN000152,CUST000185,2023-03-15,256488,bank_transfer,success
REPAY0000260,LOAN000152,CUST000185,2023-04-14,239389,bank_transfer,success
REPAY0000261,LOAN000153,CUST000186,2025-05-20,442046,mobile_money,success
REPAY0000262,LOAN000153,CUST000186,2025-06-19,315747,bank_transfer,success
REPAY0000263,LOAN000154,CUST000187,2023-06-01,323520,mobile_money,success
REPAY0000264,LOAN000155,CUST000188,2023-03-15,403016,bank_transfer,success
REPAY0000265,LOAN000155,CUST000188,2023-04-14,257930,mobile_money,success
REPAY0000266,LOAN000156,CUST000189,2026-02-19,550000,bank_transfer,success
REPAY0000267,LOAN000157,CUST000190,2025-07-18,283298,bank_transfer,success
REPAY0000268,LOAN000158,CUST000191,2023-01-23,90316,agent,success
REPAY0000269,LOAN000158,CUST000191,2023-02-22,160562,bank_transfer,success
REPAY0000270,LOAN000159,CUST000192,2024-09-28,261253,bank_transfer,success
REPAY0000271,LOAN000159,CUST000192,2024-10-28,142502,mobile_money,success
REPAY0000272,LOAN000160,CUST000193,2024-12-30,89788,mobile_money,success
REPAY0000273,LOAN000160,CUST000193,2025-01-29,69068,mobile_money,success
REPAY0000274,LOAN000161,CUST000194,2025-11-28,225000,agent,success
REPAY0000275,LOAN000161,CUST000194,2025-12-28,225000,bank_transfer,success
REPAY0000276,LOAN000162,CUST000195,2023-05-20,128102,bank_transfer,success
REPAY0000277,LOAN000162,CUST000195,2023-06-19,40992,mobile_money,success
REPAY0000278,LOAN000163,CUST000196,2026-02-20,239508,bank_transfer,success
REPAY0000279,LOAN000163,CUST000196,2026-03-22,114051,mobile_money,success
REPAY0000280,LOAN000164,CUST000198,2025-10-31,324846,agent,success
REPAY0000281,LOAN000164,CUST000198,2025-11-30,232033,mobile_money,success
REPAY0000282,LOAN000165,CUST000199,2025-12-10,96473,bank_transfer,success
REPAY0000283,LOAN000165,CUST000199,2026-01-09,64315,bank_transfer,success
REPAY0000284,LOAN000166,CUST000200,2023-05-08,550000,bank_transfer,success
REPAY0000285,LOAN000167,CUST000201,2023-05-13,500000,mobile_money,success
REPAY0000286,LOAN000167,CUST000201,2023-06-12,275000,mobile_money,success
REPAY0000287,LOAN000168,CUST000202,2024-11-23,135497,agent,success
REPAY0000288,LOAN000168,CUST000202,2024-12-23,36953,mobile_money,success
REPAY0000289,LOAN000169,CUST000203,2025-12-10,275000,bank_transfer,success
REPAY0000290,LOAN000170,CUST000204,2024-11-02,327071,agent,success
REPAY0000291,LOAN000170,CUST000204,2024-12-02,224861,agent,success
REPAY0000292,LOAN000171,CUST000205,2025-01-18,365911,mobile_money,success
REPAY0000293,LOAN000171,CUST000205,2025-02-17,304926,bank_transfer,success
REPAY0000294,LOAN000172,CUST000208,2025-09-03,79897,agent,success
REPAY0000295,LOAN000172,CUST000208,2025-10-03,79897,agent,success
REPAY0000296,LOAN000173,CUST000209,2024-09-30,575000,bank_transfer,success
REPAY0000297,LOAN000174,CUST000210,2023-05-12,172048,agent,success
REPAY0000298,LOAN000174,CUST000210,2023-06-11,110602,agent,success
REPAY0000299,LOAN000175,CUST000211,2023-03-23,143782,agent,success
REPAY0000300,LOAN000175,CUST000211,2023-04-22,62904,agent,success
REPAY0000301,LOAN000176,CUST000212,2025-09-27,185542,agent,success
REPAY0000302,LOAN000176,CUST000212,2025-10-27,222650,agent,success
REPAY0000303,LOAN000177,CUST000213,2025-02-09,266126,bank_transfer,success
REPAY0000304,LOAN000178,CUST000214,2023-04-24,147907,mobile_money,success
REPAY0000305,LOAN000179,CUST000215,2023-11-22,225000,bank_transfer,success
REPAY0000306,LOAN000179,CUST000215,2023-12-22,275000,bank_transfer,success
REPAY0000307,LOAN000180,CUST000217,2023-06-24,525000,bank_transfer,success
REPAY0000308,LOAN000181,CUST000219,2023-11-28,339821,agent,success
REPAY0000309,LOAN000181,CUST000219,2023-12-28,77232,mobile_money,success
REPAY0000310,LOAN000182,CUST000220,2026-03-29,184845,agent,success
REPAY0000311,LOAN000182,CUST000220,2026-04-28,346584,bank_transfer,success
REPAY0000312,LOAN000183,CUST000221,2024-07-27,243525,agent,success
REPAY0000313,LOAN000183,CUST000221,2024-08-26,304407,bank_transfer,success
REPAY0000314,LOAN000184,CUST000222,2024-10-05,350000,mobile_money,success
REPAY0000315,LOAN000184,CUST000222,2024-11-04,175000,agent,success
REPAY0000316,LOAN000185,CUST000223,2023-04-29,450000,bank_transfer,success
REPAY0000317,LOAN000185,CUST000223,2023-05-29,125000,agent,success
REPAY0000318,LOAN000186,CUST000224,2023-06-03,410925,mobile_money,success
REPAY0000319,LOAN000186,CUST000224,2023-07-03,280176,mobile_money,success
REPAY0000320,LOAN000187,CUST000225,2023-07-25,556778,mobile_money,success
REPAY0000321,LOAN000187,CUST000225,2023-08-24,311795,agent,success
REPAY0000322,LOAN000188,CUST000226,2026-02-06,120685,agent,success
REPAY0000323,LOAN000188,CUST000226,2026-03-08,193097,bank_transfer,success
REPAY0000324,LOAN000189,CUST000227,2023-09-16,253025,mobile_money,success
REPAY0000325,LOAN000189,CUST000227,2023-10-16,230022,mobile_money,success
REPAY0000326,LOAN000190,CUST000228,2024-01-22,405368,bank_transfer,success
REPAY0000327,LOAN000191,CUST000229,2025-12-12,49933,agent,success
REPAY0000328,LOAN000191,CUST000229,2026-01-11,49933,agent,success
REPAY0000329,LOAN000192,CUST000230,2025-02-09,235455,bank_transfer,success
REPAY0000330,LOAN000192,CUST000230,2025-03-11,61961,bank_transfer,success
REPAY0000331,LOAN000193,CUST000231,2025-09-25,198267,agent,success
REPAY0000332,LOAN000194,CUST000233,2025-09-26,110082,agent,success
REPAY0000333,LOAN000194,CUST000233,2025-10-26,97131,mobile_money,success
REPAY0000334,LOAN000195,CUST000234,2025-11-19,88615,agent,success
REPAY0000335,LOAN000196,CUST000235,2026-04-08,123715,agent,success
REPAY0000336,LOAN000197,CUST000236,2025-05-15,416758,bank_transfer,success
REPAY0000337,LOAN000197,CUST000236,2025-06-14,100022,mobile_money,success
REPAY0000338,LOAN000198,CUST000237,2024-03-03,126465,bank_transfer,success
REPAY0000339,LOAN000198,CUST000237,2024-04-02,94849,mobile_money,success
REPAY0000340,LOAN000199,CUST000238,2026-03-24,240080,agent,success
REPAY0000341,LOAN000199,CUST000238,2026-04-23,54563,agent,success
REPAY0000342,LOAN000200,CUST000239,2025-07-02,293067,agent,success
REPAY0000343,LOAN000200,CUST000239,2025-08-01,117226,mobile_money,success
REPAY0000344,LOAN000201,CUST000240,2025-02-26,192680,agent,success
REPAY0000345,LOAN000202,CUST000241,2025-01-17,214434,agent,success
REPAY0000346,LOAN000202,CUST000241,2025-02-16,292410,bank_transfer,success
REPAY0000347,LOAN000203,CUST000242,2025-01-25,550000,bank_transfer,success
REPAY0000348,LOAN000203,CUST000242,2025-02-24,375000,agent,success
REPAY0000349,LOAN000204,CUST000243,2023-05-12,132258,agent,success
REPAY0000350,LOAN000204,CUST000243,2023-06-11,235126,agent,success
REPAY0000351,LOAN000205,CUST000244,2025-06-15,218234,bank_transfer,success
REPAY0000352,LOAN000205,CUST000244,2025-07-15,166885,bank_transfer,success
REPAY0000353,LOAN000206,CUST000245,2025-01-26,136299,agent,success
REPAY0000354,LOAN000206,CUST000245,2025-02-25,45433,bank_transfer,success
REPAY0000355,LOAN000207,CUST000246,2023-10-24,354347,bank_transfer,success
REPAY0000356,LOAN000207,CUST000246,2023-11-23,184876,bank_transfer,success
REPAY0000357,LOAN000208,CUST000247,2024-02-03,300000,agent,success
REPAY0000358,LOAN000208,CUST000247,2024-03-04,175000,agent,success
REPAY0000359,LOAN000209,CUST000248,2026-01-06,235787,mobile_money,success
REPAY0000360,LOAN000210,CUST000249,2023-12-07,38950,agent,success
REPAY0000361,LOAN000211,CUST000250,2023-02-01,164704,bank_transfer,success
REPAY0000362,LOAN000211,CUST000250,2023-03-03,179677,mobile_money,success
REPAY0000363,LOAN000212,CUST000251,2024-05-17,165027,mobile_money,success
